g,s,lat,lon
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e3585g,40.4847,-80.0318
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e35850,40.463,-79.9838
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e3584g,40.433611,-79.946389
urn:gleaner.io:eco:earthchem:data:27f3de72de6389e27e3be06be3e33b1805d957d5,https://gleaner.io/xid/genid/daj5t60jo11s73e35esg,40.6658,-77.409017
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e36280,40.63587,-77.94251
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e3628g,40.63589,-77.94214
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e36290,40.635912,-77.942201
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e3629g,40.63623,-77.9424
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e362a0,40.63641,-77.94223
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e362ag,40.63642,-77.94222
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e362b0,40.636857,-77.942741
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e3626g,40.63551,-77.942023
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e36270,40.635703,-77.942138
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e3627g,40.635846,-77.942376
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e36260,40.635019,-77.941936
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e3625g,40.6349,-77.941192
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e36250,40.633555,-77.94194
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e36240,40.6362,-77.94234
urn:gleaner.io:eco:earthchem:data:2d183d86bfd83026b64c5473b96b72ed695724f5,https://gleaner.io/xid/genid/daj5t6gjo11s73e3623g,40.63617,-77.9424
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aesg,39.64703,-74.17377
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af00,39.94085,-74.06963
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aevg,39.94058,-74.0697
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aev0,39.94032,-74.06977
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeug,39.9305,-74.07833
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeu0,39.64765,-74.17328
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aetg,39.64745,-74.17343
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aet0,39.64723,-74.17358
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3af10,39.94135,-74.06947
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aes0,39.64682,-74.17397
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aerg,39.3372,-74.47497
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aer0,39.337,-74.47525
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeqg,39.3368,-74.47567
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aeq0,39.33667,-74.47595
urn:gleaner.io:eco:earthchem:data:38864d7d576b520919531e224177673496daa9f9,https://gleaner.io/xid/genid/daj5t9gjo11s73e3aepg,39.3365,-74.47625
